X,Y
612.39,638.73
609.99,640.45
606.29,637.58
605.8,642.24
602.43,640.25
600.94,641.02
600.41,643.11
597.52,641.01
599.18,642.08
597.44,642.65
599.69,645.3
597.65,647.93
598.03,648.12
598.36,648.4
597.71,653.33
596.84,658.34
599.44,662.83
595.97,658.71
599.34,660.77
599.91,660.3
598.98,656.32
602.25,652.37
604.04,657.49
605.74,658.41
612.82,659.66
610.52,665.31
608.64,668.96
608.27,669.28
607.54,668.27
609.62,669.85
609.68,667.01
612.45,659.67
617.47,656.81
612.39,654.78
612.6,655.19
615.9,653.56
615.56,650.48
613.93,652.68
613.94,651.08
614.09,649.95
623.54,649.95
628.31,650.1
630.1,648.33
632.05,648.35
633.97,653.29
630.7,656.63
628.51,658.69
632.81,659.97
636.24,657.87
635.1,659.75
633.66,658.16
635.48,659.89
632.95,658.95
633.55,654.65
636.7,644.3
634.32,643.84
629.94,644.36
635.42,642.96
635,642.01
638.57,644.62
638.02,644.79
632.41,643.34
635.86,643.57
632.76,639.37
633.43,639.85
636.02,642.43
637.85,644.54
640.38,646.59
638.61,654.15
638.87,655.29
635.6,653.56
636.04,653.98
637.43,653.8
643.38,652.69
642.72,650.65
644.81,658.75
647.68,658.58
643.65,661.57
640,662.22
639.35,664.08
640.2,670.97
639.26,669.03
645.41,665.07
636.13,667.83
634.51,670.43
634.34,673.35
640.02,675.66
639.4,674.15
642.76,672.03
643.8,673.6
644.39,669.94
648.54,668.21
646.61,668.73
642.25,669.69
641.54,665.05
637.76,661.5
634.81,663.75
636.22,654.06
630.78,652.95
631.48,649.18
628.78,653.79
627.98,652.25
629.94,652.26
630.8,652.07
630.5,649.54
628.23,648.74
627.99,650.06
626.85,653.19
627.47,649.03
632.18,650.34
635.42,650.63
631.61,647.39
631.45,647.48
632.69,648.18
633.97,642.7
635.71,638.67
634.4,631.23
632.05,630.59
634.74,625.89
632.49,626.04
